id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235111928948637698,@sudhirchaudhary @WIONews Coronavirus khud do mask pehankar baitha hoga tujhse bachne ke liye bsdk,Sudhirchaudhari Vivews Konvirs Bsdk itself will mask wearing down to you to avoid,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",-0.15555555555555559,0.2888888888888889,in,,
1235111615537672193,"@Devil__kaif Deepika KI 1pehli hit WITHOUT BIG STAR thi yeh BSDK
Lalman ko clash me pela thaNEW COMER  RK",Devil__kaif Deepika KI 1pehli hit WITHOUT BIG STAR thi yeh BSDK Lalman ko clash pela thaNEW COMER RK,"Sentiment(polarity=0.0, subjectivity=0.1)",0.0,0.1,in,Hogwarts,
1235111273039138817,@badboyniwesh @Ab_Bsss @MauryavanshiP Love u bsdk,badboyniwesh Ab_Bsss MauryavanshiP Love u bsdk,"Sentiment(polarity=0.5, subjectivity=0.6)",0.5,0.6,en,1:43,
1235111147260403712,@ikavyaverma @tackletanu 😂✔️💯,ikavyaverma tackletanu,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1235111145905598465,@iamamaanlhan 🤣🤣🤣🤣👍 salute for your honesty... @filmfare dekh bsdk.,iamamaanlhan salute honesty ... filmfare dekh bsdk,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,India,
1235111098837331968,@Roy62156371 @Ab_Bsss @MauryavanshiP Bsdk,Roy 62156371 Ab_bsss Muryvansheep Bsdk,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Kolkata,
1235111003492253696,BSDK https://t.co/75ExaZe3tJ,BSDK,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Bharat ,
1235110941940781056,@smiley___07 Wah re bsdk,smiley___07 Wah bsdk,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,Kolkata,
1235110850010083328,@swayamankita @Chitrakshvij 😂😂,swayamankita Chitrakshvij,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
1235110757349511169,"@akbaral25233339 @Saradhya1 Bsdk tere bahut jada hai chutiye
30000 per month wale  ki aukad mujhe batayega 😂🤣😂",Akbrl 25233339 Srdhy 1 Bsdk you very much Cutiye 30000 Per Month with the Awkad tell me,"Sentiment(polarity=0.26, subjectivity=0.26)",0.26,0.26,in,Kolkata,
1235110617100341248,@NOTYELEMENT @GaltiSeEngineer Chutiya or bsdk log😂,Notylement Ghltisinginir bloody Bsdk people,"Sentiment(polarity=-0.8, subjectivity=0.9)",-0.8,0.9,in,Loading...,
1235110575111168001,"@RohitSi07544496 tere baap bhi mera yaha kaam karta hai mc bc bsdk
Nikal lavde😂😂",Rohitsi 07544496 Your father is also my job here muck just Bsdk out Lvde,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,,
1235110460728291328,@BhadauriaRitik @Saradhya1 teri aukat to vo bhi ni hai bsdk,Bduriyritik Srdhy 1 Your status is the new Bsdk,"Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",0.13636363636363635,0.45454545454545453,in,,
1235110372455018496,@SIDHART43303529 Jaa bsdk kaam dhundh kaam nhi toh bhuka mar jaega,Siddhrt 43303529 be Bsdk work haze work Nhi Toh Bhuka will die,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,,
1235110357045108741,@gauravbh @RiyazbhaiThe Ye paidaisi chutiya hai... Isko foreign se paisa aata hai ye sab bakwas karne ke liye.. Ye… https://t.co/z4gwcf2JeH,Gurvb Riajhbite These Padaisi is Cutia ... is this money coming from foreign These are all nonsense .. These,"Sentiment(polarity=-0.125, subjectivity=0.125)",-0.125,0.125,hi,,
1235110221623808000,@RohitSi07544496 @SeemaDa01022006 @IamSinghaniya Bsdk Jitna kaam wo kr chuka h na phle uska 2percent b tu krle jb b… https://t.co/pbWbi3Ac9F,Rohitsi 07544496 Simadh 01022006 Iamsingania Bsdk much work he has are not the first of his two parent B Tu Karle when B,"Sentiment(polarity=0.225, subjectivity=0.26666666666666666)",0.225,0.26666666666666666,in,,
1235110184814555136,@monsterous__me Chal...Bsdk!!,monsterous__me Chal ... Bsdk,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,"Bhubaneshwar, India",
1235109673432313856,@shehnazshines दीदी अब तक चु@ की कमाई खाती रहोगी  ?,Sehnajshines,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1235109457400479745,#coronavirus similar to kro naaa😂,Grow karonavirusa not cimilar,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,tl,,
1235108738761216000,"@NasirQu80250979 @vishaljaisriram @ndtvindia Abe bsdk tum log logo ko berozgaar kr rhe ho
Logo ka ghar tod rhe ho
A… https://t.co/PA7X63n2d7",Nsirko 80250979 Vishaljaysriram Ndtvindia Abe Bsdk you guys are people breaking're unemployed people in home security,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,India,
1235108564043051009,@cmd_CTT Ya bsdk bohat harami hay maulvi kahan say hogaya is nay altaf hussain jaisay soar kay bachay ko topi karwa… https://t.co/XVLBobU4LE,Chand_ktt or get Bsdk Boht bastard Hi cleric where've done the hat baby pigs like Altaf Hussain,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,in,"Karachi, Pakistan",
1235108271691685888,@Officialneha https://t.co/T0L4tNVSUc,Officialneha,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,,
