id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1249041991083503618,@MimrotReena You mean Rahul Gandhi,MimrotReena You mean Rahul Gandhi,"Sentiment(polarity=-0.3125, subjectivity=0.6875)",-0.3125,0.6875,en,,"[[77.556362, 12.657055], [77.835486, 12.657055], [77.835486, 12.937701], [77.556362, 12.937701]]"
1249041990076862464,@Shehnaa96646613 @Rahul_Ar_5 @ArshadRauf_ @Gtoure5 @shehnaaz Yr had hai yrr friend ok,Sehno 96646613 Rahul_ar_5 Arsdrauf_ Gtur 5 Sehnajh Year's Yrr friends OK,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,cy,,
1249041968296050691,"@TimesNow @RahulGandhi @mlkhattar Rahul Gandhi made statement in Lok Sabha he doesn’t know anything, He is as smart… https://t.co/osrskAx0R8",TimesNow RahulGandhi mlkhattar Rahul Gandhi made statement Lok Sabha know anything He smart,"Sentiment(polarity=0.21428571428571427, subjectivity=0.6428571428571429)",0.21428571428571427,0.6428571428571429,en,"Charlotte, NC",
1249041944107311104,@sambitswaraj @SarpanchOnline Sarpanch ji aap kud Rahul gandhi se 100%   jyada samajdar hai. .aap k bolne se saaf d… https://t.co/xRTxIyCffW,Smbitswaraj Srpancholine head G is 100 more intelligent than themselves Rahul .You a clean speech,"Sentiment(polarity=0.5555555555555556, subjectivity=0.7000000000000001)",0.5555555555555556,0.7000000000000001,hi,,
1249041854928007170,@srivatsayb Srivatsa’s brain is exact copy of his leader Rahul Gandhi.,srivatsayb Srivatsa brain exact copy leader Rahul Gandhi,"Sentiment(polarity=0.25, subjectivity=0.25)",0.25,0.25,en,Bangalore & Africa,
1249041850834485249,@Shehnaa96646613 @onlyshehnazfan @ArshadRauf_ @Gtoure5 @shehnaaz Arre dushman darte hain mujhse bula lo 🤣😂😂,Sehno 96646613 Olishhnajhfan Arsdrauf_ Gtur 5 Shahnaz Hey enemies are afraid and call me,"Sentiment(polarity=-0.6, subjectivity=0.9)",-0.6,0.9,hi,NewDehli,
1249041828600373249,@Rahul_Ar_5 @Shehnaa96646613 @ArshadRauf_ @Gtoure5 @shehnaaz 🤣🤣🤣🤣mukaa phone se nhi ata,"Rahul_ar_5 Sehno 96,646,613 Arsdrauf_ Gtur not 5 Shahnaz Muka phone so","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1249041763907432454,@dhume Har cheez me problem hai bklodo ko... Abhi Rahul Gandhi PM hota to Tabaahi mach jaati... Atleast log Modi ko… https://t.co/J3whLFuGKU,The Bklodo Dhume is a problem every thing ... now Rahul Gandhi Pt is devastation caused ... Attlist People Modi,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,Kaniyakumari,
1249041760090615813,India✅ Vs Corona ❌ #IndiaFightCorona https://t.co/I5aqhaX1IR,India Vs Corona IndiaFightCorona,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,es,"Mangaldoi, Guwahati,India",
1249041702251155461,@Rahul_Ar_5 @Shehnaa96646613 @ArshadRauf_ @Gtoure5 @shehnaaz 🤣🤣🤣ok fun masti karo,Rahulara5 sehana 96646613 arsadaraupha gtaure 5 Shehnaz make fun oak Fun,"Sentiment(polarity=0.3, subjectivity=0.2)",0.3,0.2,in,,
1249041674409365505,@_sabanaqvi @ThePrintIndia ये ज्ञान जाके ऊन हरामी जमात वालोंको दे..जो कोरोना का प्रचार कर रहे हैं  .. 😡😡😡😡😡😡😡,_sabanaqvi ThePrintIndia .. ..,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1249041661398667264,"I ever  go for nota . but love our modiji,Arvind sir as showing their concern &amp; awareness fr covid19 in whole count… https://t.co/zxnPsKvdse",I ever go nota love modiji Arvind sir showing concern amp awareness fr covid19 whole count,"Sentiment(polarity=0.35, subjectivity=0.5)",0.35,0.5,en,,
1249041654603902976,@kavita_krishnan Good thing you have condemned it in no uncertain terms. What Rahul Kanwal has done is nothing short of hate mongering.,kavita_krishnan Good thing condemned uncertain terms What Rahul Kanwal done nothing short hate mongering,"Sentiment(polarity=-0.03333333333333336, subjectivity=0.6000000000000001)",-0.03333333333333336,0.6000000000000001,en,"Karnataka, India",
1249041653169455104,@srivatsayb Wow the sticks looks like guns to congress leader😆😆😆😆  it's become a competition within congress on who… https://t.co/iG7j2rdw1N,srivatsayb Wow sticks looks like guns congress leader 's become competition within congress,"Sentiment(polarity=0.1, subjectivity=1.0)",0.1,1.0,en,,
1249041638350962689,"@IndiaToday @rahulkanwal Well done Rahul, atleast you did a better job.",IndiaToday rahulkanwal Well done Rahul atleast better job,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,"Allahabad, India",
1249041624514146306,@Shehnaa96646613 @onlyshehnazfan @ArshadRauf_ @Gtoure5 @shehnaaz 🤣🤣😂😂,Sehno 96646613 Olishhnajhfan Arsdrauf_ Gtur 5 Shahnaz,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,und,NewDehli,
1249041614330368000,Koe girl friend bana chai hai to rabta kry watsapp par 03410156986 i am Rahul,A girlfriend made tea 03410156986 Rahul Rabta Corry Watspp,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,,
1249041610274267136,"@niiravmodi Brother we r illiterate, we don't understand Rahul Gandhi English 😉",niiravmodi Brother r illiterate n't understand Rahul Gandhi English,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Bihar, India",
1249041591945162753,@mariaaa__x That's somebody food. Respeck?,mariaaa__x That 's somebody food Respeck,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1249041591848669184,@RAHUL_IIIM @mdbaid @anjanaomkashyap Offffooo bhai sahab gobar toh ap khate h 🤣🤣🤣 bhakti m,Rahulaiiima madbaida anjanaommakasyapah ophphaphuo brother loses muck they serve at the,"Sentiment(polarity=-0.3, subjectivity=0.1)",-0.3,0.1,hi,,
1249041587507810304,"KXIP

1. Kl Rahul
2. Mayank Agarwal
3. Karun Nair
4. Mandeep Singh
5. Sarfaraz Khan
6. Krishnappa Gowtham
7. Deepak… https://t.co/utYGdEEt3O",KXIP 1 Kl Rahul 2 Mayank Agarwal 3 Karun Nair 4 Mandeep Singh 5 Sarfaraz Khan 6 Krishnappa Gowtham 7 Deepak,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,hi,"Michigan, USA",
