id,original_text,clean_text,sentiment,polarity,subjectivity,lang,place,place_coord_boundaries
1235110191466573824,He is the angry dem.  The trump of the Dems https://t.co/plJTskxq0d,He angry dem The trump Dems,"Sentiment(polarity=-0.5, subjectivity=1.0)",-0.5,1.0,en,Vancouver,
1235110190535430144,"Imagine having a candidate that's only interested in solving problems. One that can get Republicans and Democrats,… https://t.co/MUjLG8u0DM",Imagine candidate 's interested solving problems One get Republicans Democrats,"Sentiment(polarity=0.25, subjectivity=0.5)",0.25,0.5,en,New York,
1235110189734363136,"#Buttigieg, the first openly gay, pro-abortion presidential candidate, was hated by the left. Why?
https://t.co/1eUB9m4deZ",Buttigieg first openly gay pro-abortion presidential candidate hated left Why,"Sentiment(polarity=-0.05833333333333332, subjectivity=0.4041666666666667)",-0.05833333333333332,0.4041666666666667,en,Land of 2A home of FreeSpeech!,
1235110188333465600,"If you cant tell this is propaganda, then i am sorry, so dem release person people carry placards saying trump dey… https://t.co/t59o6ghL9R",If cant tell propaganda sorry dem release person people carry placards saying trump dey,"Sentiment(polarity=-0.3, subjectivity=0.55)",-0.3,0.55,en,Ijebu-state Lagos,
1235110188211789824,#SuperTuesdayResults proved what we all already knew;  Bernie Sanders could never beat Donald Trump...,SuperTuesdayResults proved already knew Bernie Sanders could never beat Donald Trump ...,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,,
1235110187947765760,"@yoniixxx People will always vote for their own personal safety option regardless of the safety of others 

Everyon… https://t.co/f5tK5NNHbI",yoniixxx People always vote personal safety option regardless safety others Everyon,"Sentiment(polarity=0.0, subjectivity=0.3)",0.0,0.3,en,,
1235110184457887744,@CityNews PATHETIC CITYNEWS CP24 LITTLE OR NOTHING ABOUT PRESIDENT TRUMP’S EVENTS... https://t.co/AVSlA1P0k6,CityNews PATHETIC CITYNEWS CP24 LITTLE OR NOTHING ABOUT PRESIDENT TRUMP S EVENTS ...,"Sentiment(polarity=-0.59375, subjectivity=0.75)",-0.59375,0.75,en,"North York, Ontario",
1235110184252362752,"@ChunkyMalarkey Biden also carries a sort of ""safe"" quality for a lot of people, despite the fact that he will lite… https://t.co/ZSsSikEXeG",ChunkyMalarkey Biden also carries sort `` safe '' quality lot people despite fact lite,"Sentiment(polarity=0.5, subjectivity=0.5)",0.5,0.5,en,"Bellingham, WA",
1235110182998294528,@NateSilver538 How long before the Democratic party can start blaming Bernie for Biden's loss to Trump?,NateSilver538 How long Democratic party start blaming Bernie Biden 's loss Trump,"Sentiment(polarity=-0.05, subjectivity=0.4)",-0.05,0.4,en,,
1235110180272168960,@Shauna33R @SenSanders @JoeBiden @MikeBloomberg @SenWarren @TulsiGabbard The Winner is Donald Trump...4 more years,Shauna33R SenSanders JoeBiden MikeBloomberg SenWarren TulsiGabbard The Winner Donald Trump ... 4 years,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"Nairobi, Kenya",
1235110179353419779,@TheRickWilson Man they'll just make an excuse for him or not report it was much. But TRUMP will use it tho! It's c… https://t.co/egePnlWG4Y,TheRickWilson Man 'll make excuse report much But TRUMP use tho It 's c,"Sentiment(polarity=0.07500000000000001, subjectivity=0.125)",0.07500000000000001,0.125,en,Wakanda Alabama,
1235110177805758464,"@ReficulGOT @briebriejoy @ninaturner Not with M4A. It's a terrible model for universal healthcare, Warren figured t… https://t.co/SMTqBPNlfl",ReficulGOT briebriejoy ninaturner Not M4A It 's terrible model universal healthcare Warren figured,"Sentiment(polarity=-0.5, subjectivity=0.5)",-0.5,0.5,en,Earth,
1235110177755430913,"Bernie lost to Hillary last time and I still voted for her against trump, but this time.... if Bernie loses again,… https://t.co/yDj9C5Doj2",Bernie lost Hillary last time I still voted trump time ... Bernie loses,"Sentiment(polarity=-0.15, subjectivity=0.08333333333333334)",-0.15,0.08333333333333334,en,,
1235110177499525120,@SarcasmHorizon I agreed completely. And we're going to need to create bipartisan measures to ensure our check and… https://t.co/VPLRAPZ5d5,SarcasmHorizon I agreed completely And 're going need create bipartisan measures ensure check,"Sentiment(polarity=0.1, subjectivity=0.4)",0.1,0.4,en,"From DC, landed in AR hell.",
1235110176518098944,@PerisMusings Lot of unknowns here; I read that a lot of his supporters voted for Trump when Clinton was selected l… https://t.co/Ksx8Qqo6l7,PerisMusings Lot unknowns I read lot supporters voted Trump Clinton selected l,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,"here, there and everywhere",
